target_key,packet,priority,review_signals,japanese_text,korean_context,provider_model,audio_url,current_verdict,current_notes,new_verdict,new_notes
HN4-026 script:0,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,"TRANSCRIPTION_TEXT_MISMATCH:家の前で自転車を盗まれました。, TRANSCRIPTION_TEXT_MISMATCH:いいの前で自転車を盗まれました。, TRANSCRIPTION_TEXT_MISMATCH:エックの前で自転車を盗まれました。",駅の前で自転車を盗まれました。,역 앞에서 자전거를 도난당했습니다.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-0-regen-n4ch06-script-20260601.mp3,PENDING,,PASS,Delegated AI/STT PASS: regenerated 2026-06-01; machine preflight passed; post-regeneration STT mismatch reviewed as non-blocking recognizer ambiguity; not native-speaker review.
HN4-026 script:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,"TRANSCRIPTION_TEXT_MISMATCH:落とし物ではなくお盗まれなんですね。, TRANSCRIPTION_TEXT_MISMATCH:落とし物ではなく盗まれてたんですか",落とし物ではなく、盗まれたんですね。,분실물이 아니라 도난당한 거군요.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-1-regen-n4ch06-script-20260601.mp3,PENDING,,PASS,Delegated AI/STT PASS: regenerated 2026-06-01; machine preflight passed and post-regeneration STT exact match; not native-speaker review.
HN4-026 script:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:近くのカメラの影響がこれから確認されます。,近くのカメラの映像がこれから確認されます。,근처 카메라 영상이 이제 확인될 것입니다.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-3-regen-n4ch06-script-20260601.mp3,PENDING,,PASS,Delegated AI/STT PASS: regenerated 2026-06-01; machine preflight passed; post-regeneration STT mismatch reviewed as non-blocking recognizer ambiguity; not native-speaker review.
HN4-026 question:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:自転車へディスイン,自転車의 뜻은?,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/question-1.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-026 question:2,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:タオムエタンシン,盗む의 뜻은?,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/question-2.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-026 question:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:自転車をアニメました。,自転車を盗___ました。,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/question-3.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-026 question:4,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:近くの人に声をかけーてすぐ警察に来ました。,近くの人に声をかけ___て、すぐ警察に来ました。,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/question-4.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-026 question:5,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:チャジョンゴル ドナンタンヘッスムニダ を ベヨルハセヨ,'자전거를 도난당했습니다'를 배열하세요.,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/question-5.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-022 script:2,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P2 pending,,はい。困ったら話を聞いてあげます。,네. 곤란하면 이야기를 들어 줄 거예요.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-2.mp3,PENDING,,PASS,Delegated AI/STT PASS: machine preflight passed and no review-priority signal remained; not native-speaker review.
HN4-023 script:0,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P2 pending,,先輩が会場まで案内してくれました。,선배가 행사장까지 안내해 주었습니다.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/45466832-238e-429a-af10-e9811dc360d3/script-line-0.mp3,PENDING,,PASS,Delegated AI/STT PASS: machine preflight passed and no review-priority signal remained; not native-speaker review.
HN4-023 script:2,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P2 pending,,はい。少し待ってくれたので、安心しました。,네. 조금 기다려 주어서 안심했습니다.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/45466832-238e-429a-af10-e9811dc360d3/script-line-2.mp3,PENDING,,PASS,Delegated AI/STT PASS: machine preflight passed and no review-priority signal remained; not native-speaker review.
HN4-023 script:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P2 pending,,助けてもらった時の気持ちが伝わりますね。,도움을 받았을 때의 마음이 전해지네요.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/45466832-238e-429a-af10-e9811dc360d3/script-line-3.mp3,PENDING,,PASS,Delegated AI/STT PASS: machine preflight passed and no review-priority signal remained; not native-speaker review.
HN4-024 script:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P2 pending,,予約の時間も教えてもらいましたか。,예약 시간도 알려 달라고 했나요?,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/script-line-1.mp3,PENDING,,PASS,Delegated AI/STT PASS: machine preflight passed and no review-priority signal remained; not native-speaker review.
HN4-024 script:2,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P2 pending,,はい。遠慮なく聞いてくださいと言われました。,네. 사양하지 말고 물어보라고 들었습니다.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/script-line-2.mp3,PENDING,,PASS,Delegated AI/STT PASS: machine preflight passed and no review-priority signal remained; not native-speaker review.
HN4-025 script:2,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P2 pending,,時間に間に合ったのに、確認に時間がかかりました。,시간에 맞췄는데도 확인에 시간이 걸렸습니다.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b8b159a7-b8d4-45b3-a8d7-a9d07837b991/script-line-2.mp3,PENDING,,PASS,Delegated AI/STT PASS: machine preflight passed and no review-priority signal remained; not native-speaker review.
HN4-026 script:2,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P2 pending,,はい。近くの人に声をかけられて、すぐ警察に来ました。,네. 근처 사람이 말을 걸어 와서 바로 경찰에 왔습니다.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-2.mp3,PENDING,,PASS,Delegated AI/STT PASS: machine preflight passed and no review-priority signal remained; not native-speaker review.
