target_key,packet,priority,bucket,similarity,review_signals,japanese_text,korean_context,stt_transcript,audio_url,recommended_action,new_verdict,new_notes
HN4-018 question:1,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:チゲを釣る,機械의 뜻은?,,チゲを釣る,https://storage.googleapis.com/harukoto-storage/tts/lesson/b68d0a77-31f9-4061-8e22-baedb02367f7/question-1.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-018 question:2,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:ウリエトシン,無理의 뜻은?,,ウリエトシン,https://storage.googleapis.com/harukoto-storage/tts/lesson/b68d0a77-31f9-4061-8e22-baedb02367f7/question-2.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-018 question:3,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.857,TRANSCRIPTION_TEXT_MISMATCH:この機械は壊れいつかです,この機械は壊れ___です。,,この機械は壊れいつかです,https://storage.googleapis.com/harukoto-storage/tts/lesson/b68d0a77-31f9-4061-8e22-baedb02367f7/question-3.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-018 question:4,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.308,TRANSCRIPTION_TEXT_MISMATCH:目の前の状態を見て推測するとき、알맞은 표현은,눈앞의 상태를 보고 추측할 때 알맞은 표현은?,,目の前の状態を見て推測するとき、알맞은 표현은,https://storage.googleapis.com/harukoto-storage/tts/lesson/b68d0a77-31f9-4061-8e22-baedb02367f7/question-4.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-018 question:5,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:この機械は故障しそうですを配列してください,'이 기계는 고장 날 것 같습니다'를 배열하세요.,,この機械は故障しそうですを配列してください,https://storage.googleapis.com/harukoto-storage/tts/lesson/b68d0a77-31f9-4061-8e22-baedb02367f7/question-5.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-019 question:1,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:ゆていえいえん,予定의 뜻은?,,ゆていえいえん,https://storage.googleapis.com/harukoto-storage/tts/lesson/50d21797-c2c3-40ed-8641-db05efa0578d/question-1.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-019 question:2,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:ドプロエトン,受付의 뜻은?,,ドプロエトン,https://storage.googleapis.com/harukoto-storage/tts/lesson/50d21797-c2c3-40ed-8641-db05efa0578d/question-2.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-019 question:3,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.923,TRANSCRIPTION_TEXT_MISMATCH:会議は3時から始まるです。,会議は三時から始まる___です。,,会議は3時から始まるです。,https://storage.googleapis.com/harukoto-storage/tts/lesson/50d21797-c2c3-40ed-8641-db05efa0578d/question-3.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-019 question:5,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:「しおむん しゅぷだご はみだ」をべよるはせよ,'시험은 쉽다고 합니다'를 배열하세요.,,「しおむん しゅぷだご はみだ」をべよるはせよ,https://storage.googleapis.com/harukoto-storage/tts/lesson/50d21797-c2c3-40ed-8641-db05efa0578d/question-5.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-020 question:1,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:原則、",約束의 뜻은?,,原則、,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/question-1.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-020 question:2,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:モロヘイヤ",守る의 뜻은?,,モロヘイヤ,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/question-2.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-020 question:3,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.875,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:約束は守るならです",約束は守る___です。,,約束は守るならです,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/question-3.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-020 question:4,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.786,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:規則はみんなで交わらぬものですな",規則はみんなで___ものですね。,,規則はみんなで交わらぬものですな,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/question-4.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-020 question:5,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.200,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:約束を守る法です。を配列하세요。",'약속은 지키는 법입니다'를 배열하세요.,,約束を守る法です。を配列하세요。,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/question-5.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-021 question:1,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.444,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:予約恵子",予約의 뜻은?,,予約恵子,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/question-1.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-021 question:2,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.182,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:とくえ とくえ",届く의 뜻은?,,とくえ とくえ,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/question-2.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-021 question:3,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.154,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:かしわるーさに",席はある___です。,,かしわるーさに,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/question-3.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-021 question:4,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.889,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:資料も今日は初です。",資料も今日___はずです。,,資料も今日は初です。,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/question-4.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-021 question:5,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:資料は今日到着するでしょう。を配列してください。",'자료는 오늘 도착할 것입니다'를 배열하세요.,,資料は今日到着するでしょう。を配列してください。,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/question-5.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-019 question:4,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P2 pending,NO_STT_TRANSCRIPT,0.000,TRANSCRIPTION_FAILED:TimeoutError:,들은 정보를 전달할 때 알맞은 표현은?,,,https://storage.googleapis.com/harukoto-storage/tts/lesson/50d21797-c2c3-40ed-8641-db05efa0578d/question-4.mp3,rerun STT assist or listen manually before setting a verdict,,
HN4-020 script:1,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P2 pending,NO_STT_TRANSCRIPT,0.000,TRANSCRIPTION_FAILED:TimeoutError:,はい。規則はみんなで守るものですね。,네. 규칙은 모두 함께 지키는 법이네요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/script-line-1.mp3,rerun STT assist or listen manually before setting a verdict,,
HN4-020 script:2,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P2 pending,NO_STT_TRANSCRIPT,0.000,TRANSCRIPTION_FAILED:TimeoutError:,挨拶は普通、先にするものです。,인사는 보통 먼저 하는 법입니다.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/script-line-2.mp3,rerun STT assist or listen manually before setting a verdict,,
HN4-020 script:3,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P2 pending,NO_STT_TRANSCRIPT,0.000,TRANSCRIPTION_FAILED:TimeoutError:,社会で必要な考え方ですね。,사회에서 필요한 사고방식이네요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/script-line-3.mp3,rerun STT assist or listen manually before setting a verdict,,
HN4-021 script:1,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P2 pending,NO_STT_TRANSCRIPT,0.000,TRANSCRIPTION_FAILED:TimeoutError:,資料も今日届くはずです。,자료도 오늘 도착할 것입니다.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-1.mp3,rerun STT assist or listen manually before setting a verdict,,
