target_key,packet,priority,japanese_text,korean_context,audio_url,current_verdict,current_notes,new_verdict,new_notes
HN4-001 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,'이름을 쓰세요'를 올바른 순서로 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/question-5.mp3,PENDING,,,
HN4-002 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,少し頭が痛いです。,머리가 조금 아픕니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/script-line-0.mp3,PENDING,,,
HN4-002 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,心配ですね。今日は早く寝たほうがいいです。,걱정이네요. 오늘은 일찍 자는 편이 좋습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/script-line-1.mp3,PENDING,,,
HN4-002 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,医者に相談したほうがいいですか。,의사와 상담하는 편이 좋을까요?,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/script-line-2.mp3,PENDING,,,
HN4-002 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,熱があれば、医者に相談したほうが安心です。,열이 있으면 의사와 상담하는 편이 안심이 됩니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/script-line-3.mp3,PENDING,,,
HN4-002 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,心配의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/question-1.mp3,PENDING,,,
HN4-002 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,相談의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/question-2.mp3,PENDING,,,
HN4-002 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,早く寝___。 (일찍 자는 편이 좋습니다.),,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/question-3.mp3,PENDING,,,
HN4-003 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,じゃあ、会議に間に合わないかもしれませんね。,그럼 회의에 맞추지 못할지도 모르겠네요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/script-line-1.mp3,PENDING,,,
HN4-003 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,台風의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-1.mp3,PENDING,,,
HN4-003 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,間に合う의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-2.mp3,PENDING,,,
HN4-004 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,時間が足りません。駅まで走るしかありません。,시간이 부족합니다. 역까지 달릴 수밖에 없습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/script-line-0.mp3,PENDING,,,
HN4-004 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,次の予定がありますからね。,다음 일정이 있으니까요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/script-line-1.mp3,PENDING,,,
HN4-004 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,諦めないで、急いで行きましょう。,포기하지 말고 서둘러 갑시다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/script-line-3.mp3,PENDING,,,
HN4-004 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,足りる의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-1.mp3,PENDING,,,
HN4-004 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,予定의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-2.mp3,PENDING,,,
HN4-004 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,走る___。 (달릴 수밖에 없습니다.),,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-3.mp3,PENDING,,,
HN4-004 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,'역까지 달릴 수밖에 없습니다'를 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-5.mp3,PENDING,,,
HN4-005 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,文も翻訳できますか。,문장도 번역할 수 있나요?,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/script-line-1.mp3,PENDING,,,
HN4-005 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,はい。授業の予約にも申し込めます。,네. 수업 예약도 신청할 수 있습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/script-line-2.mp3,PENDING,,,
HN4-005 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,翻訳의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/question-1.mp3,PENDING,,,
HN4-005 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,申し込む의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/question-2.mp3,PENDING,,,
HN4-005 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,漢字を調べ___。 (한자를 찾아볼 수 있습니다.),,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/question-3.mp3,PENDING,,,
HN4-006 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,湖の深さを地図で確認しました。,호수의 깊이를 지도에서 확인했습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-0.mp3,PENDING,,,
HN4-006 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,この川の浅さも分かりますか。,이 강의 얕은 정도도 알 수 있나요?,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-1.mp3,PENDING,,,
HN4-006 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,はい。線の太さや細さも見られます。,네. 선의 굵기나 가늘기도 볼 수 있습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-2.mp3,PENDING,,,
HN4-006 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,深い의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/question-1.mp3,PENDING,,,
HN4-006 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,正しい의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/question-2.mp3,PENDING,,,
HN4-006 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,湖の深___を確認します。 (호수의 깊이를 확인합니다.),,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/question-3.mp3,PENDING,,,
HN4-006 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,'호수의 깊이를 확인했습니다'를 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/question-5.mp3,PENDING,,,
HN4-007 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,参加する의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/faeff614-2038-49b4-8c6c-4915d50cecf8/question-1.mp3,PENDING,,,
HN4-007 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,集める의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/faeff614-2038-49b4-8c6c-4915d50cecf8/question-2.mp3,PENDING,,,
HN4-007 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,イベントに参加___と思っています。,,https://storage.googleapis.com/harukoto-storage/tts/lesson/faeff614-2038-49b4-8c6c-4915d50cecf8/question-3.mp3,PENDING,,,
HN4-007 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,案内を送___と思っています。,,https://storage.googleapis.com/harukoto-storage/tts/lesson/faeff614-2038-49b4-8c6c-4915d50cecf8/question-4.mp3,PENDING,,,
HN4-007 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,'행사에 참가하려고 생각하고 있습니다'를 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/faeff614-2038-49b4-8c6c-4915d50cecf8/question-5.mp3,PENDING,,,
HN4-008 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,返事が遅れてすみません。,답장이 늦어서 죄송합니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/script-line-0.mp3,PENDING,,,
HN4-008 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,会議が長かったのです。,회의가 길었던 거예요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/script-line-2.mp3,PENDING,,,
HN4-008 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,理由의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/question-1.mp3,PENDING,,,
HN4-008 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,返事의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/question-2.mp3,PENDING,,,
HN4-008 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,理由があった___か。 (이유가 있었던 건가요?),,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/question-4.mp3,PENDING,,,
HN4-008 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,'회의가 길었던 거예요'를 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/question-5.mp3,PENDING,,,
HN4-009 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,面接의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/3221de04-7925-47d9-880a-2adcabfc58b1/question-1.mp3,PENDING,,,
HN4-009 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,準備의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/3221de04-7925-47d9-880a-2adcabfc58b1/question-2.mp3,PENDING,,,
HN4-009 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,面接___、練習しています。 (면접을 위해 연습하고 있습니다.),,https://storage.googleapis.com/harukoto-storage/tts/lesson/3221de04-7925-47d9-880a-2adcabfc58b1/question-3.mp3,PENDING,,,
HN4-009 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,'면접을 위해 준비하고 있습니다'를 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/3221de04-7925-47d9-880a-2adcabfc58b1/question-5.mp3,PENDING,,,
HN4-010 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,はい。自然な結果を言うときに使います。,네. 자연스러운 결과를 말할 때 씁니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/script-line-2.mp3,PENDING,,,
HN4-010 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,荷物が届くと、メールが来ます。,짐이 도착하면 메일이 옵니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/script-line-3.mp3,PENDING,,,
HN4-010 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,信号의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/question-1.mp3,PENDING,,,
HN4-010 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,届く의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/question-2.mp3,PENDING,,,
HN4-010 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,ボタンを押す___、画面が変わります。,,https://storage.googleapis.com/harukoto-storage/tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/question-3.mp3,PENDING,,,
HN4-010 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,'버튼을 누르면 화면이 바뀝니다'를 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/question-5.mp3,PENDING,,,
HN4-011 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch03-2026-05-13.md,P1 STT mismatch,ノートを選ぶ前に、紙の厚さを比べています。,노트를 고르기 전에 종이의 두께를 비교하고 있습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/script-line-0.mp3,PENDING,,,
HN4-011 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch03-2026-05-13.md,P1 STT mismatch,厚い紙と薄い紙がありますね。,두꺼운 종이와 얇은 종이가 있네요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/script-line-1.mp3,PENDING,,,
HN4-011 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch03-2026-05-13.md,P1 STT mismatch,はい。この紙の柔らかさも確認します。,네. 이 종이의 부드러운 정도도 확인합니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/script-line-2.mp3,PENDING,,,
HN4-011 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch03-2026-05-13.md,P1 STT mismatch,厚さと柔らかさを比べて選びましょう。,두께와 부드러운 정도를 비교해서 고릅시다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/script-line-3.mp3,PENDING,,,
HN4-011 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch03-2026-05-13.md,P1 STT mismatch,厚い의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/question-1.mp3,PENDING,,,
HN4-011 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch03-2026-05-13.md,P1 STT mismatch,柔らかい의 뜻은?,,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/question-2.mp3,PENDING,,,
HN4-011 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch03-2026-05-13.md,P1 STT mismatch,この紙の柔らか___を確認します。 (이 종이의 부드러운 정도를 확인합니다.),,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/question-4.mp3,PENDING,,,
HN4-001 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,宿題を出す前に、名前を書きなさい。,숙제를 내기 전에 이름을 쓰세요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/script-line-0.mp3,PENDING,,,
HN4-001 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,はい、ここに書けばいいですか。,"네, 여기에 쓰면 되나요?",https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/script-line-1.mp3,PENDING,,,
HN4-001 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,はい。それから、規則をもう一度確認しなさい。,네. 그리고 규칙을 한 번 더 확인하세요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/script-line-2.mp3,PENDING,,,
HN4-002 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,'오늘은 일찍 자는 편이 좋습니다'를 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/question-5.mp3,PENDING,,,
HN4-003 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,台風で電車が遅れるかもしれません。,태풍 때문에 전철이 늦을지도 모릅니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/script-line-0.mp3,PENDING,,,
HN4-003 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,最近、天気がよく変わります。,최근 날씨가 자주 바뀝니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/script-line-2.mp3,PENDING,,,
HN4-003 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,少し心配ですが、早めに出発します。,조금 걱정되지만 일찍 출발하겠습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/script-line-3.mp3,PENDING,,,
HN4-003 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,'전철이 늦을지도 모릅니다'를 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-5.mp3,PENDING,,,
HN4-004 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,タクシーは高いので、電車に乗るしかありません。,택시는 비싸서 전철을 탈 수밖에 없습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/script-line-2.mp3,PENDING,,,
HN4-005 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,このアプリで漢字を調べられます。,이 앱으로 한자를 찾아볼 수 있습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/script-line-0.mp3,PENDING,,,
HN4-005 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,それなら自信を持って勉強できます。,그렇다면 자신감을 갖고 공부할 수 있습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/script-line-3.mp3,PENDING,,,
HN4-005 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,'이 앱으로 한자를 찾아볼 수 있습니다'를 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/question-5.mp3,PENDING,,,
HN4-006 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P2 pending,情報の正しさも大切ですね。,정보의 정확성도 중요하네요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-3.mp3,PENDING,,,
HN4-007 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P2 pending,週末のイベントに参加しようと思っています。,주말 이벤트에 참가하려고 생각하고 있습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/faeff614-2038-49b4-8c6c-4915d50cecf8/script-line-0.mp3,PENDING,,,
HN4-007 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P2 pending,私は友達に案内を送ろうと思っています。,저는 친구에게 안내를 보내려고 생각하고 있습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/faeff614-2038-49b4-8c6c-4915d50cecf8/script-line-1.mp3,PENDING,,,
HN4-007 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P2 pending,資料も集めようと思います。,자료도 모으려고 합니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/faeff614-2038-49b4-8c6c-4915d50cecf8/script-line-2.mp3,PENDING,,,
HN4-007 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P2 pending,新しい先生を紹介しようと思います。,새 선생님을 소개하려고 합니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/faeff614-2038-49b4-8c6c-4915d50cecf8/script-line-3.mp3,PENDING,,,
